LOCC	LACC	LIFG	LIPL	ROCC	RACC	RIFG	RIPL	I
8682.5672	10794.7054	10068.5286	10813.9751	8790.7965	11079.2976	11193.6828	11439.6812	-0.4353
8696.2160	10748.4852	10054.9661	10781.2912	8803.6886	11068.6363	11183.0484	11407.6887	-0.4191
8747.3447	10821.0657	10065.9428	10790.8306	8821.3522	11156.2251	11247.1954	11555.6028	-0.3084
8797.8071	10934.7442	10135.6497	10914.1176	8865.3092	11222.8555	11252.3295	11522.2247	0.0078
8821.9045	10970.0195	10202.0029	10963.3664	8886.1352	11247.9127	11311.0574	11567.9386	0.3015
8830.1634	11003.4569	10235.9049	11034.8543	8913.7362	11256.8104	11309.4025	11647.8503	0.4588
8774.8547	11001.6461	10228.2602	10968.3652	8888.8530	11281.5976	11342.0058	11559.8280	0.5104
8820.5637	11049.1425	10295.9881	10970.6479	8917.7108	11270.3886	11281.8467	11567.9863	0.5058
8772.3197	10989.5139	10276.2272	10961.2021	8870.2873	11257.1739	11259.2158	11525.0448	0.4794
8789.8037	11063.0338	10277.2356	10928.9962	8879.3895	11301.7845	11274.5463	11524.0144	0.4510
8783.6567	11031.9361	10286.4359	10936.7251	8873.2514	11246.6594	11329.1709	11555.3159	0.4285
8748.2287	10962.3622	10183.0277	10915.4456	8847.9524	11230.9962	11227.1372	11531.0576	0.4121
8740.6660	10958.9385	10192.2915	10906.9792	8826.2418	11243.3824	11261.3083	11507.6304	0.3000
8684.6001	10944.7805	10127.5136	10972.1043	8787.0531	11269.2745	11268.7508	11592.5096	-0.0167
8645.2170	10876.8516	10094.6996	10909.3913	8776.8593	11160.2134	11257.8626	11548.4862	-0.3094
8605.4338	10833.7952	10027.7403	10838.6706	8711.6159	11117.2344	11194.6096	11467.4824	-0.4656
8617.8041	10812.8876	10097.9233	10867.6677	8725.4609	11131.5865	11208.2899	11472.7139	-0.5174
8604.6864	10771.2893	10088.4446	10830.2856	8737.7605	11120.2331	11166.2750	11412.3169	-0.5142
8615.9679	10799.7731	10080.4329	10789.5611	8754.4334	11150.1989	11180.8345	11446.1716	-0.4883
8658.2571	10823.9549	10081.1441	10834.6405	8764.0630	11159.9765	11205.9449	11437.0573	-0.4589
8689.3794	10886.0878	10146.4416	10921.0157	8789.2682	11167.1577	11245.7367	11483.6160	-0.4353
8711.4457	10801.4726	10156.7087	10871.1915	8816.3301	11066.8855	11215.4541	11482.6425	-0.4191
8675.6810	10794.0004	10080.4142	10819.4008	8804.0778	11102.0246	11167.0888	11467.9998	-0.3084
8742.1023	10913.7053	10167.8507	10933.0119	8855.5996	11213.7310	11253.7153	11546.5602	0.0078
8772.4354	10974.1766	10177.3186	10979.7564	8867.2602	11268.6679	11282.0835	11565.9907	0.3015
8824.1284	11044.8493	10247.1424	11001.7604	8918.4172	11322.8045	11337.4736	11600.0620	0.4588
8828.6845	11026.1374	10293.3561	10976.5220	8908.4263	11289.3130	11359.6605	11608.0704	0.5104
8837.7251	10997.0737	10280.0895	10984.8646	8917.7602	11274.6620	11370.7126	11656.7592	0.5058
8834.5182	10991.3516	10311.6108	10969.1321	8903.3160	11313.0437	11423.2916	11626.3907	0.4794
8839.0633	11029.5366	10282.6496	10984.8053	8924.5327	11310.0564	11361.5907	11666.0643	0.4510
8843.1105	10994.6228	10258.2981	11013.5527	8913.3838	11288.3528	11381.3291	11607.2345	0.4285
8845.1642	11022.6225	10271.9674	10995.9091	8896.6245	11299.9241	11387.2846	11601.5795	0.4122
8835.8944	11016.0162	10301.2730	11056.7012	8904.1516	11319.2375	11377.0068	11628.4106	0.3002
8747.4761	10949.6561	10254.9122	11042.2646	8811.2867	11258.7264	11310.7404	11607.6469	-0.0165
8645.0758	10903.3041	10156.5875	10923.6981	8744.5558	11175.3202	11186.8477	11549.4534	-0.3093
8637.7069	10877.7330	10115.4431	10976.5503	8742.3773	11184.2565	11201.1399	11518.3837	-0.4655
8658.4426	10904.4247	10117.4808	10865.8623	8794.8455	11185.0067	11226.1792	11474.6008	-0.5174
8651.7312	10862.9040	10056.6538	10775.9873	8771.2125	11188.6827	11152.1207	11403.7053	-0.5143
8656.3385	10881.3649	10040.5269	10796.2060	8782.8532	11148.3421	11145.6578	11441.5881	-0.4886
8683.6694	10873.2372	10072.0323	10803.0843	8785.8480	11176.1275	11168.2980	11515.3347	-0.4594
8673.9007	10805.5985	10055.5199	10846.0346	8780.7438	11127.0465	11160.2499	11429.9694	-0.4359
8675.7050	10817.9140	10092.9311	10798.1319	8777.0342	11118.3698	11208.1289	11429.2915	-0.4199
8662.3701	10808.4410	10117.0521	10850.9240	8767.7645	11151.8045	11234.7655	11483.3164	-0.3094
8776.6274	11032.9234	10267.3453	10974.5230	8888.5882	11297.7137	11367.8403	11633.0167	0.0066
8870.2930	11090.7297	10336.2508	11093.1073	8937.0631	11317.0046	11429.0603	11636.9380	0.3002
8862.7031	11059.4088	10342.6467	11007.8191	8959.4003	11367.1228	11444.3873	11679.5725	0.4574
8872.8842	11049.1579	10305.5937	11082.9027	8956.7966	11328.9426	11405.3173	11677.9663	0.5089
8855.0467	11013.7611	10279.3265	11054.5239	8947.0376	11284.8368	11356.3806	11668.3696	0.5042
8863.4540	11046.0904	10312.6348	11034.0855	8952.1591	11336.7776	11360.6154	11642.1235	0.4776
8895.0658	11048.8702	10262.2479	11079.1500	8973.7137	11336.4245	11360.4439	11634.5642	0.4491
8849.3637	11045.6933	10278.1073	11022.0745	8943.3738	11308.8227	11380.3990	11636.6733	0.4264
8836.2016	11006.2710	10279.2236	10976.8274	8914.3105	11302.2456	11325.7609	11595.6498	0.4098
8796.6939	10995.1595	10236.0447	11072.2385	8835.8726	11207.5191	11301.4917	11607.7443	0.2974
8688.1366	10879.9806	10183.2638	11001.3216	8765.7233	11182.9173	11239.7152	11539.6443	-0.0197
8641.7619	10773.6641	10118.5741	10896.7885	8717.2067	11124.6317	11186.3224	11426.3237	-0.3128
8636.1626	10713.9267	10003.6423	10718.3331	8694.5478	11131.2493	11135.4488	11385.9982	-0.4695
8605.5682	10717.2007	10001.4406	10631.9606	8718.8366	11047.6197	11098.4314	11403.0787	-0.5219
8590.7321	10739.7029	9990.3026	10733.0490	8725.0965	11136.9114	11183.6984	11440.9686	-0.5194
8674.6528	10801.5071	10071.9660	10792.9032	8802.3514	11147.2662	11253.8794	11472.7416	-0.4943
8683.5468	10743.5982	10046.3630	10653.4751	8798.0238	11114.1508	11265.1152	11386.9531	-0.4657
8667.7859	10705.2517	9993.2056	10646.7417	8779.6240	11084.2599	11136.9983	11394.2457	-0.4430
8612.7066	10726.4655	10014.3614	10673.3651	8728.1097	11099.0508	11149.9352	11350.1073	-0.4278
8650.3641	10776.0101	10057.4101	10772.0785	8744.8127	11141.3409	11153.0526	11382.8477	-0.3182
8695.3632	10891.0676	10112.3091	10851.2674	8804.1153	11210.3083	11253.0864	11471.3618	-0.0033
8756.3816	10938.8670	10177.4175	10878.5699	8849.9768	11179.3096	11258.3278	11457.6906	0.2891
8740.0755	11010.8712	10208.8576	10887.7549	8837.0244	11252.6536	11265.0212	11525.4373	0.4449
8768.7960	11007.2058	10245.6043	10950.0771	8866.4639	11252.7726	11302.2198	11513.3094	0.4948
8790.6091	11019.6788	10237.1608	11023.8208	8881.0347	11263.9413	11293.7196	11566.7671	0.4885
8839.4832	11043.9423	10293.1707	11064.1382	8940.7297	11293.5565	11359.1070	11631.9252	0.4600
8838.9930	11003.4637	10282.7541	11079.1473	8927.0331	11259.1097	11318.2940	11643.1449	0.4294
8811.1676	10923.3176	10265.5223	11016.1633	8894.2966	11215.2904	11316.2623	11582.8064	0.4046
8808.8902	10904.5510	10189.1531	10998.4677	8872.0622	11215.5184	11301.0671	11581.8097	0.3855
8758.7926	10855.1552	10185.1991	10918.6644	8835.3892	11163.5369	11301.7594	11501.2190	0.2705
